Fecha;Cierre;Apertura
28-dic-2017;29.17;29.6
27-dic-2017;29.58;29.705
22-dic-2017;29.615;29.66
21-dic-2017;29.93;29.54
20-dic-2017;29.53;29.86
19-dic-2017;29.805;29.955
18-dic-2017;30.01;30.225
14-dic-2017;30.72;31.4
13-dic-2017;31.295;32
12-dic-2017;30.765;31.23
11-dic-2017;31.15;31.22
08-dic-2017;31.075;31.28
07-dic-2017;30.97;30.73
06-dic-2017;30.605;30.2
05-dic-2017;30.38;30.43
04-dic-2017;30.575;29.825
01-dic-2017;29.57;29.74
30-nov-2017;29.74;29.745
29-nov-2017;29.775;29.96
28-nov-2017;29.84;29.655
27-nov-2017;29.6;29.385
24-nov-2017;29.475;29.22
23-nov-2017;29.275;29.25
22-nov-2017;29.28;29.33
21-nov-2017;29.36;29.525
20-nov-2017;29.5;29.25
17-nov-2017;29.265;29
16-nov-2017;29.755;29.36
15-nov-2017;29.19;29.39
14-nov-2017;29.385;29.41
13-nov-2017;29.335;29.65
10-nov-2017;29.555;29.775
09-nov-2017;29.73;30.055
08-nov-2017;30.1;29.96
07-nov-2017;29.96;30.89
06-nov-2017;30.885;31.05
03-nov-2017;31.15;31.3
02-nov-2017;31.2;31.48
01-nov-2017;31.47;32.305
31-oct-2017;32.095;31.99
30-oct-2017;32.185;31.51
27-oct-2017;31.26;31.52
26-oct-2017;31.48;30.715
25-oct-2017;30.6;30.91
24-oct-2017;30.92;30.95
23-oct-2017;30.95;30.97
20-oct-2017;30.99;31.04
19-oct-2017;30.895;31.3
18-oct-2017;31.26;31.565
17-oct-2017;31.445;31.05
16-oct-2017;31.12;31.17
13-oct-2017;31.18;31.4
12-oct-2017;31.4;31.475
11-oct-2017;31.4;31.23
10-oct-2017;31;31.3
09-oct-2017;31.3;31.245
06-oct-2017;30.945;31.19
05-oct-2017;31.24;30.725
04-oct-2017;30.655;31.28
03-oct-2017;31.31;31.465
02-oct-2017;31.47;31.74
29-sep-2017;31.885;31.805
28-sep-2017;31.71;31.6
27-sep-2017;31.585;31.625
26-sep-2017;31.515;31.565
25-sep-2017;31.525;31.58
22-sep-2017;31.91;32.00
21-sep-2017;31.995;32.49
20-sep-2017;32.41;32.2
19-sep-2017;32.685;31.985
18-sep-2017;32.535;32.685
15-sep-2017;32.65;32.35
14-sep-2017;32.345;32.29
13-sep-2017;32.175;31.955
12-sep-2017;32.05;31.67
11-sep-2017;31.45;31.115
08-sep-2017;30.895;31.105
07-sep-2017;31.115;31.345
06-sep-2017;31.2;31.03
05-sep-2017;31.165;31.4
04-sep-2017;31.545;31.625
01-sep-2017;31.85;32.015
31-ago-2017;31.915;33.05
30-ago-2017;33.105;33.385
29-ago-2017;33.225;33
28-ago-2017;33.005;33.26
25-ago-2017;33.41;33.35
24-ago-2017;33.445;33.58
23-ago-2017;33.44;33.67
22-ago-2017;33.665;33.81
21-ago-2017;33.61;33.45
18-ago-2017;33.445;33.535
17-ago-2017;33.77;33.8
16-ago-2017;33.76;33.79
15-ago-2017;33.59;33.505
14-ago-2017;33.43;33.205
11-ago-2017;33.17;33.4
10-ago-2017;33.595;34.04
09-ago-2017;34.04;34.125
08-ago-2017;34.355;33.875
07-ago-2017;33.955;34.13
04-ago-2017;33.96;33.6
03-ago-2017;33.68;33.75
02-ago-2017;33.75;33.88
01-ago-2017;33.88;34.03
31-jul-2017;33.59;33.6
28-jul-2017;33.5;33.5
27-jul-2017;33.745;33.485
26-jul-2017;33.62;33.39
25-jul-2017;33.39;33.72
24-jul-2017;33.645;33.625
21-jul-2017;33.625;33.96
20-jul-2017;34.17;34.22
19-jul-2017;34.22;33.81
18-jul-2017;33.72;34.4
17-jul-2017;34.55;34.32
14-jul-2017;34.2;34.16
13-jul-2017;34.05;33.9
12-jul-2017;33.79;33.35
11-jul-2017;33.34;33.89
10-jul-2017;33.745;33.675
07-jul-2017;33.635;33.735
06-jul-2017;33.535;34.045
05-jul-2017;33.89;33.825
04-jul-2017;33.795;33.72
03-jul-2017;33.84;33.705
30-jun-2017;33.61;33.99
29-jun-2017;33.92;34.73
28-jun-2017;34.535;34.725
27-jun-2017;34.825;34.87
26-jun-2017;34.935;35.015
23-jun-2017;34.86;35.065
22-jun-2017;35.07;34.885
21-jun-2017;35.02;35.155
20-jun-2017;35.155;35.695
19-jun-2017;35.555;35.485
16-jun-2017;35.21;34.97
15-jun-2017;34.97;35.15
14-jun-2017;35.215;35.16
13-jun-2017;35.86;35.745
12-jun-2017;35.795;36.285
09-jun-2017;36.405;36.58
08-jun-2017;36.425;36.185
